client_name,segment,service_status,invoice_amount,invoice_due_date,invoice_status
Next Group 672,estandar,cancelado,21153.16,2026-04-21,pendiente
Zenith Group 445,grande,cancelado,33863.84,2026-05-22,pendiente
Global Corp 376,startup,cancelado,47934.91,2026-05-02,pendiente
Zenith Partners 557,startup,cancelado,46239.67,2026-05-13,pagada
Next LLC 791,zombi,activo,1887.33,2026-04-03,pendiente
Next Partners 909,startup,cancelado,43219.70,2026-01-31,anulada
Tech LLC 44,grande,cancelado,32855.82,2026-03-24,pagada
Alpha Group 921,estandar,suspendido,15793.81,2026-01-26,pendiente
Prime Solutions 447,zombi,cancelado,23147.38,2026-07-02,vencida
Global Solutions 688,zombi,cancelado,10745.92,2025-12-26,anulada
Tech Enterprises 901,grande,suspendido,24765.40,2026-01-12,anulada
Zenith Partners 334,grande,suspendido,21696.98,2026-04-06,pendiente
Core Inc 926,startup,activo,15256.26,2026-01-30,anulada
Tech Group 907,grande,suspendido,49510.18,2026-03-16,pendiente
Next LLC 194,zombi,cancelado,20680.50,2026-03-17,pagada
Global Enterprises 648,startup,activo,40244.73,2026-05-28,pagada
Zenith Inc 531,startup,activo,26443.50,2026-02-07,anulada
Core Corp 102,startup,activo,14802.66,2026-02-13,pendiente
Zenith Partners 334,grande,suspendido,14325.93,2026-01-09,pendiente
Next Enterprises 62,startup,activo,23376.32,2026-07-05,pagada
Next Enterprises 273,zombi,suspendido,25218.35,2026-01-21,pagada
Core Inc 926,startup,activo,8243.24,2026-06-17,vencida
Mega Enterprises 672,estandar,activo,7275.62,2026-01-12,pendiente
Global Enterprises 648,startup,activo,24605.46,2026-01-10,pendiente
Mega Partners 260,zombi,activo,3279.52,2026-06-20,vencida
Global Solutions 688,zombi,cancelado,39898.06,2026-07-13,vencida
Tech Partners 880,startup,cancelado,47917.95,2026-06-25,pagada
Zenith Inc 190,grande,cancelado,44880.36,2026-02-12,anulada
Mega Inc 770,startup,suspendido,13493.16,2026-04-09,pagada
Core Partners 938,estandar,suspendido,17680.38,2026-03-26,pendiente
Tech LLC 44,grande,cancelado,19864.83,2026-02-20,pendiente
Core Corp 102,startup,activo,35954.50,2026-02-19,pendiente
Global Enterprises 648,startup,activo,7942.08,2026-01-21,pagada
Core Group 604,grande,suspendido,41272.42,2026-07-13,pagada
Alpha LLC 227,grande,cancelado,3144.64,2026-03-07,pagada
Core Inc 846,grande,activo,12600.73,2025-12-23,anulada
Next LLC 965,startup,activo,5156.49,2026-03-26,pagada
Next Group 672,estandar,cancelado,19419.35,2026-06-11,pagada
Global Solutions 927,estandar,cancelado,39733.45,2026-06-06,pendiente
Tech Partners 261,startup,suspendido,7281.97,2026-05-13,anulada
Prime Partners 471,startup,suspendido,5774.06,2026-05-06,pagada
Next LLC 162,estandar,activo,35519.67,2025-12-17,anulada
Core Solutions 570,zombi,activo,293.83,2026-04-23,pagada
Zenith LLC 46,startup,suspendido,1140.70,2026-01-17,pagada
Prime Corp 755,estandar,activo,43435.49,2026-04-28,pagada
Global Partners 778,startup,activo,37648.41,2026-06-17,anulada
Prime Enterprises 949,startup,activo,22460.97,2026-06-12,anulada
Alpha Solutions 113,estandar,cancelado,32763.36,2026-04-14,pendiente
Global Enterprises 439,zombi,cancelado,17522.97,2026-02-07,pagada
Zenith Group 48,grande,suspendido,42723.96,2026-01-31,pendiente
Core Corp 102,startup,activo,27506.73,2026-06-06,pagada
Mega Solutions 128,grande,cancelado,27220.44,2026-01-03,pendiente
Zenith Corp 563,startup,cancelado,43429.94,2026-03-23,anulada
Zenith Partners 334,grande,suspendido,38222.54,2025-12-23,anulada
Mega Inc 770,startup,suspendido,21368.46,2026-03-25,anulada
Tech Enterprises 901,grande,suspendido,17048.46,2026-02-06,pagada
Core Partners 4,startup,suspendido,16999.92,2026-06-05,pendiente
Global Partners 170,startup,activo,43007.11,2025-12-27,pendiente
Tech LLC 44,grande,cancelado,37017.90,2026-05-16,anulada
Prime Group 272,estandar,activo,30002.95,2026-01-01,pendiente
Alpha Solutions 812,startup,suspendido,18936.13,2025-12-23,pendiente
Global Group 391,startup,cancelado,26332.23,2026-05-16,pendiente
Zenith Group 445,grande,cancelado,49999.27,2026-01-09,pendiente
Tech LLC 44,grande,cancelado,41451.01,2026-03-20,pendiente
Core Solutions 690,startup,activo,10369.96,2025-12-18,anulada
Global Group 391,startup,cancelado,7296.30,2026-05-19,pendiente
Mega LLC 58,estandar,activo,44556.86,2026-01-13,pagada
Next Corp 838,estandar,activo,42018.24,2026-01-18,anulada
Global Partners 170,startup,activo,2543.78,2026-03-17,anulada
Tech Partners 261,startup,suspendido,27031.37,2026-07-11,pagada
Zenith Inc 190,grande,cancelado,37805.76,2026-07-08,vencida
Zenith Corp 563,startup,cancelado,6870.53,2026-03-12,pendiente
Alpha Corp 111,zombi,activo,36505.76,2026-05-01,pagada
Alpha Enterprises 495,zombi,activo,20301.98,2026-07-03,vencida
Next Partners 959,estandar,suspendido,42318.48,2026-07-08,vencida
Zenith Inc 531,startup,activo,1187.72,2026-04-02,pendiente
Alpha Solutions 856,grande,suspendido,49774.32,2026-01-17,pagada
Global Enterprises 439,zombi,cancelado,27239.18,2026-06-05,pendiente
Zenith Inc 190,grande,cancelado,5427.63,2026-02-28,anulada
Global LLC 721,grande,activo,3828.81,2026-06-24,vencida
Alpha Solutions 812,startup,suspendido,25690.20,2025-12-21,pendiente
Next Partners 234,grande,cancelado,32465.30,2026-04-08,pagada
Next Partners 234,grande,cancelado,11233.68,2026-03-04,anulada
Mega Partners 593,estandar,suspendido,3768.55,2026-01-27,pendiente
Prime Inc 662,zombi,cancelado,9898.07,2026-06-04,pagada
Core Solutions 690,startup,activo,49664.18,2026-04-22,anulada
Core Partners 4,startup,suspendido,49788.70,2026-02-17,pagada
Global Enterprises 648,startup,activo,38103.75,2026-03-08,pendiente
Zenith Group 48,grande,suspendido,7917.38,2026-04-09,pendiente
Global Inc 238,startup,activo,26087.65,2026-05-21,pendiente
Mega Partners 593,estandar,suspendido,34273.77,2026-06-25,pagada
Mega Solutions 128,grande,cancelado,27849.57,2026-06-25,vencida
Alpha Solutions 812,startup,suspendido,40119.50,2026-03-12,pendiente
Next Corp 838,estandar,activo,10838.28,2026-01-11,pendiente
Global Group 391,startup,cancelado,8115.54,2026-07-07,vencida
Next Partners 909,startup,cancelado,15609.02,2026-01-14,anulada
Mega Partners 207,estandar,suspendido,5412.85,2026-01-18,pagada
Core Partners 938,estandar,suspendido,31134.65,2026-06-16,pendiente
Zenith Inc 557,startup,cancelado,33981.84,2026-03-22,pendiente
Core Solutions 570,zombi,activo,21274.55,2026-05-09,pagada
Global Solutions 688,zombi,cancelado,29672.54,2026-01-08,pagada
Next Partners 234,grande,cancelado,28523.52,2026-03-10,pendiente
Mega Enterprises 672,estandar,activo,16965.66,2026-03-12,pendiente
Core Inc 846,grande,activo,32781.44,2025-12-25,pendiente
Zenith Corp 563,startup,cancelado,45520.12,2026-02-11,pendiente
Core Partners 4,startup,suspendido,21481.05,2026-07-01,pendiente
Mega Group 291,startup,cancelado,13782.38,2026-02-02,pagada
Next Partners 959,estandar,suspendido,9815.14,2026-01-02,pagada
Mega Corp 4,startup,cancelado,42444.41,2026-01-06,anulada
Global Group 81,grande,activo,13066.84,2026-03-06,anulada
Alpha Enterprises 574,grande,cancelado,7352.06,2026-03-21,pagada
Tech Enterprises 901,grande,suspendido,44391.33,2026-02-06,pagada
Prime Solutions 447,zombi,cancelado,48293.28,2026-02-02,pendiente
Core Partners 4,startup,suspendido,3959.84,2026-01-18,pendiente
Mega LLC 58,estandar,activo,15893.48,2026-03-05,pagada
Zenith Group 445,grande,cancelado,5937.72,2026-07-07,pagada
Zenith Partners 334,grande,suspendido,358.61,2026-02-10,pagada
Global Corp 376,startup,cancelado,11770.99,2026-07-11,anulada
Zenith Inc 190,grande,cancelado,6420.07,2026-07-07,anulada
Mega Inc 770,startup,suspendido,33929.16,2026-04-25,anulada
Global Corp 376,startup,cancelado,5240.28,2026-03-17,pendiente
Core Corp 102,startup,activo,16773.06,2026-01-11,pendiente
Core Inc 846,grande,activo,23115.31,2026-02-02,pagada
Mega Partners 260,zombi,activo,36040.43,2026-02-08,pagada
Core Solutions 570,zombi,activo,47759.26,2025-12-19,pendiente
Next Partners 234,grande,cancelado,2217.56,2026-03-31,pendiente
Next Partners 140,startup,suspendido,38773.62,2026-03-15,pagada
Alpha Corp 489,grande,suspendido,16866.93,2026-05-03,pendiente
Next Group 672,estandar,cancelado,15601.24,2026-03-29,pendiente
Core LLC 170,zombi,activo,30579.68,2026-03-14,pendiente
Prime Enterprises 949,startup,activo,8190.46,2026-02-16,pendiente
Global LLC 721,grande,activo,3669.51,2026-02-18,pagada
Alpha Group 782,zombi,activo,34191.21,2025-12-21,pendiente
Alpha Group 782,zombi,activo,3005.96,2026-05-04,anulada
Mega Partners 207,estandar,suspendido,28887.78,2026-07-13,anulada
Mega LLC 119,estandar,suspendido,47468.86,2026-02-20,pendiente
Next LLC 199,startup,suspendido,32235.84,2026-02-04,pendiente
Prime Enterprises 949,startup,activo,14891.44,2026-06-22,vencida
Prime Inc 662,zombi,cancelado,9985.40,2026-01-05,pagada
Alpha Corp 984,estandar,activo,2436.29,2026-05-23,pagada
Global Group 81,grande,activo,19258.50,2026-04-21,anulada
Mega Inc 770,startup,suspendido,20451.83,2026-07-06,pendiente
Global Group 81,grande,activo,37568.30,2026-04-05,pendiente
Zenith Corp 563,startup,cancelado,22896.51,2026-01-22,pendiente
Mega Enterprises 672,estandar,activo,19769.39,2026-01-30,pendiente
Alpha Solutions 538,zombi,suspendido,17395.30,2026-03-20,anulada
Alpha Partners 195,startup,cancelado,40550.28,2026-05-30,anulada
Mega Enterprises 672,estandar,activo,2365.89,2026-06-18,anulada
Core Group 416,startup,suspendido,41744.36,2026-05-26,pendiente
Global Group 391,startup,cancelado,46726.91,2026-07-04,pagada
Mega Partners 207,estandar,suspendido,24879.68,2026-05-31,pendiente
Alpha Solutions 538,zombi,suspendido,46968.74,2026-05-17,pagada
Tech Partners 880,startup,cancelado,32036.67,2025-12-31,pendiente
Zenith Group 48,grande,suspendido,3686.48,2026-06-22,pagada
Prime Group 830,zombi,cancelado,34590.29,2026-03-08,pendiente
Core Group 111,zombi,suspendido,27924.87,2026-06-23,vencida
Next LLC 194,zombi,cancelado,11543.35,2026-06-16,pagada
Prime Group 830,zombi,cancelado,40900.62,2026-04-11,anulada
Tech Partners 880,startup,cancelado,16326.63,2025-12-31,pendiente
Prime Enterprises 949,startup,activo,38264.98,2026-05-27,pendiente
Global LLC 721,grande,activo,41550.66,2026-03-28,pendiente
Alpha Enterprises 495,zombi,activo,5956.10,2026-06-27,vencida
Alpha Partners 856,zombi,cancelado,35688.28,2026-04-25,anulada
Mega Partners 207,estandar,suspendido,25967.52,2026-03-08,pagada
Global Enterprises 439,zombi,cancelado,9095.92,2026-07-10,pagada
Tech Partners 880,startup,cancelado,41449.61,2025-12-30,anulada
Prime Partners 471,startup,suspendido,27246.35,2026-06-11,pendiente
Mega Enterprises 672,estandar,activo,40424.54,2026-06-29,anulada
Core Corp 102,startup,activo,10925.66,2026-02-16,pendiente
Alpha Corp 489,grande,suspendido,18282.93,2026-04-16,pagada
Mega Solutions 128,grande,cancelado,17487.16,2026-01-20,pagada
Zenith Corp 563,startup,cancelado,28649.00,2026-03-14,anulada
Mega Partners 260,zombi,activo,30359.05,2026-06-20,pagada
Prime Partners 471,startup,suspendido,3338.94,2026-02-10,anulada
Next Corp 838,estandar,activo,22382.15,2026-05-24,pendiente
Global Enterprises 648,startup,activo,21467.11,2026-03-16,pagada
Next Partners 902,estandar,activo,10699.48,2026-01-10,pagada
Prime Inc 662,zombi,cancelado,16042.81,2026-06-24,vencida
Zenith Corp 563,startup,cancelado,30817.22,2026-01-31,pendiente
Mega Inc 770,startup,suspendido,16272.08,2026-01-07,anulada
Zenith Corp 70,startup,suspendido,40242.64,2026-01-31,anulada
Global Solutions 688,zombi,cancelado,10912.74,2026-02-02,pendiente
Core Inc 100,estandar,suspendido,49203.10,2025-12-29,pendiente
Alpha Partners 856,zombi,cancelado,12456.41,2026-07-07,pendiente
Prime Group 830,zombi,cancelado,22040.68,2026-04-02,pendiente
Mega Partners 593,estandar,suspendido,45044.90,2026-06-24,vencida
Alpha Solutions 538,zombi,suspendido,6759.51,2026-05-27,pendiente
Zenith Partners 557,startup,cancelado,3059.12,2026-01-14,anulada
Core Group 111,zombi,suspendido,186.19,2026-03-29,pendiente
Zenith Group 445,grande,cancelado,21333.80,2026-06-02,anulada
Core Group 604,grande,suspendido,47307.74,2026-03-03,pendiente
Next Corp 838,estandar,activo,14423.51,2026-05-05,pendiente
Core Inc 100,estandar,suspendido,13603.04,2026-05-11,pagada
Tech Group 907,grande,suspendido,21804.37,2025-12-21,anulada
Next Partners 909,startup,cancelado,36244.08,2026-06-03,pendiente
Next Enterprises 62,startup,activo,13761.10,2026-03-19,pendiente
Next Partners 902,estandar,activo,14370.34,2026-06-03,pendiente
Core Group 111,zombi,suspendido,29116.77,2026-01-16,pendiente
